approach,project,bugs,detected_bugs,detected_times,success_test_times,fail_test_times,detected_rate
mosa-sub,Chart,24,19,146,231,9,0.6342592592592593
mosa-sub,Cli,28,16,118,277,3,0.4276785714285714
mosa-sub,Closure,38,9,27,313,67,0.12953216374269005
mosa-sub,Compress,29,14,92,259,31,0.33467432950191567
mosa-sub,Csv,8,6,52,76,4,0.6541666666666667
mosa-sub,Gson,14,5,50,137,3,0.35714285714285715
mosa-sub,JacksonCore,22,14,126,211,9,0.5772727272727273
mosa-sub,JacksonDatabind,75,30,170,645,105,0.277952380952381
mosa-sub,JacksonXml,6,2,19,59,1,0.31666666666666665
mosa-sub,Jsoup,58,24,147,557,23,0.26120689655172413
mosa-sub,JxPath,12,7,38,81,39,0.48303571428571423
mosa-sub,Lang,44,28,218,419,21,0.5196969696969697
mosa-sub,Math,2,1,10,20,0,0.5
mosa-sub,total,360,175,1213,3285,315,0.3675496031746031
