approach,project,bugs,detected_bugs,detected_times,success_test_times,fail_test_times,detected_rate
suite-BC-EC-MC,Chart,24,15,110,225,15,0.4817129629629629
suite-BC-EC-MC,Cli,28,12,106,279,1,0.37857142857142856
suite-BC-EC-MC,Closure,38,10,44,299,81,0.15073099415204677
suite-BC-EC-MC,Compress,29,11,64,274,16,0.23448275862068965
suite-BC-EC-MC,Csv,8,6,51,80,0,0.6375
suite-BC-EC-MC,Gson,14,5,50,136,4,0.35714285714285715
suite-BC-EC-MC,JacksonCore,22,11,100,202,18,0.45909090909090916
suite-BC-EC-MC,JacksonDatabind,75,26,157,645,105,0.25955555555555554
suite-BC-EC-MC,JacksonXml,6,2,19,56,4,0.31666666666666665
suite-BC-EC-MC,Jsoup,58,22,160,546,34,0.28793103448275853
suite-BC-EC-MC,JxPath,12,7,25,94,26,0.333994708994709
suite-BC-EC-MC,Lang,44,24,217,436,4,0.5000000000000001
suite-BC-EC-MC,Math,2,1,10,20,0,0.5
suite-BC-EC-MC,total,360,152,1113,3292,308,0.33323192239858906
