class_name,BranchCoverageGoals-smart selection,BranchCoverageGoals-constituent criterion,BranchCoverage-smart selection,BranchCoverage-constituent criterion,WeakMutationCoverageGoals-smart selection,WeakMutationCoverageGoals-constituent criterion,WeakMutationCoverage-smart selection,WeakMutationCoverage-constituent criterion,LineCoverageGoals-smart selection,LineCoverageGoals-constituent criterion,LineCoverage-smart selection,LineCoverage-constituent criterion,MethodCoverageGoals-smart selection,MethodCoverageGoals-constituent criterion,MethodCoverage-smart selection,MethodCoverage-constituent criterion,MethodNoExceptionCoverageGoals-smart selection,MethodNoExceptionCoverageGoals-constituent criterion,MethodNoExceptionCoverage-smart selection,MethodNoExceptionCoverage-constituent criterion,CBranchCoverageGoals-smart selection,CBranchCoverageGoals-constituent criterion,CBranchCoverage-smart selection,CBranchCoverage-constituent criterion,ExceptionCoverageGoals-smart selection,ExceptionCoverageGoals-constituent criterion,ExceptionCoverage-smart selection,ExceptionCoverage-constituent criterion,OutputCoverageGoals-smart selection,OutputCoverageGoals-constituent criterion,OutputCoverage-smart selection,OutputCoverage-constituent criterion,Total_Covered_Goals-smart selection,Total_Covered_Goals-constituent criterion,Size-smart selection,Size-constituent criterion,Length-smart selection,Length-constituent criterion,BranchCoverage-p-constituent criterion-smart selection,BranchCoverage-p-smart selection-constituent criterion,BranchCoverage-s-constituent criterion-smart selection,BranchCoverage-s-smart selection-constituent criterion,BranchCoverageGoals-p-constituent criterion-smart selection,BranchCoverageGoals-p-smart selection-constituent criterion,BranchCoverageGoals-s-constituent criterion-smart selection,BranchCoverageGoals-s-smart selection-constituent criterion,CBranchCoverage-p-constituent criterion-smart selection,CBranchCoverage-p-smart selection-constituent criterion,CBranchCoverage-s-constituent criterion-smart selection,CBranchCoverage-s-smart selection-constituent criterion,CBranchCoverageGoals-p-constituent criterion-smart selection,CBranchCoverageGoals-p-smart selection-constituent criterion,CBranchCoverageGoals-s-constituent criterion-smart selection,CBranchCoverageGoals-s-smart selection-constituent criterion,ExceptionCoverage-p-constituent criterion-smart selection,ExceptionCoverage-p-smart selection-constituent criterion,ExceptionCoverage-s-constituent criterion-smart selection,ExceptionCoverage-s-smart selection-constituent criterion,ExceptionCoverageGoals-p-constituent criterion-smart selection,ExceptionCoverageGoals-p-smart selection-constituent criterion,ExceptionCoverageGoals-s-constituent criterion-smart selection,ExceptionCoverageGoals-s-smart selection-constituent criterion,Length-p-constituent criterion-smart selection,Length-p-smart selection-constituent criterion,Length-s-constituent criterion-smart selection,Length-s-smart selection-constituent criterion,LineCoverage-p-constituent criterion-smart selection,LineCoverage-p-smart selection-constituent criterion,LineCoverage-s-constituent criterion-smart selection,LineCoverage-s-smart selection-constituent criterion,LineCoverageGoals-p-constituent criterion-smart selection,LineCoverageGoals-p-smart selection-constituent criterion,LineCoverageGoals-s-constituent criterion-smart selection,LineCoverageGoals-s-smart selection-constituent criterion,MethodCoverage-p-constituent criterion-smart selection,MethodCoverage-p-smart selection-constituent criterion,MethodCoverage-s-constituent criterion-smart selection,MethodCoverage-s-smart selection-constituent criterion,MethodCoverageGoals-p-constituent criterion-smart selection,MethodCoverageGoals-p-smart selection-constituent criterion,MethodCoverageGoals-s-constituent criterion-smart selection,MethodCoverageGoals-s-smart selection-constituent criterion,MethodNoExceptionCoverage-p-constituent criterion-smart selection,MethodNoExceptionCoverage-p-smart selection-constituent criterion,MethodNoExceptionCoverage-s-constituent criterion-smart selection,MethodNoExceptionCoverage-s-smart selection-constituent criterion,MethodNoExceptionCoverageGoals-p-constituent criterion-smart selection,MethodNoExceptionCoverageGoals-p-smart selection-constituent criterion,MethodNoExceptionCoverageGoals-s-constituent criterion-smart selection,MethodNoExceptionCoverageGoals-s-smart selection-constituent criterion,OutputCoverage-p-constituent criterion-smart selection,OutputCoverage-p-smart selection-constituent criterion,OutputCoverage-s-constituent criterion-smart selection,OutputCoverage-s-smart selection-constituent criterion,OutputCoverageGoals-p-constituent criterion-smart selection,OutputCoverageGoals-p-smart selection-constituent criterion,OutputCoverageGoals-s-constituent criterion-smart selection,OutputCoverageGoals-s-smart selection-constituent criterion,Size-p-constituent criterion-smart selection,Size-p-smart selection-constituent criterion,Size-s-constituent criterion-smart selection,Size-s-smart selection-constituent criterion,Total_Covered_Goals-p-constituent criterion-smart selection,Total_Covered_Goals-p-smart selection-constituent criterion,Total_Covered_Goals-s-constituent criterion-smart selection,Total_Covered_Goals-s-smart selection-constituent criterion,WeakMutationCoverage-p-constituent criterion-smart selection,WeakMutationCoverage-p-smart selection-constituent criterion,WeakMutationCoverage-s-constituent criterion-smart selection,WeakMutationCoverage-s-smart selection-constituent criterion,WeakMutationCoverageGoals-p-constituent criterion-smart selection,WeakMutationCoverageGoals-p-smart selection-constituent criterion,WeakMutationCoverageGoals-s-constituent criterion-smart selection,WeakMutationCoverageGoals-s-smart selection-constituent criterion,class
org_apache_hadoop_thirdparty_com_google_common_collect_Cut,29.0,29.0,0.2788461538461539,0.2788461538461539,43.9,43.6,0.356910569105691,0.3544715447154471,34.0,34.0,0.3148148148148148,0.3148148148148148,8.0,8.0,0.14814814814814808,0.14814814814814808,8.0,8.0,0.14814814814814808,0.14814814814814808,27.0,27.0,0.25961538461538475,0.25961538461538475,5.0,5.0,0.8333333333333331,0.8333333333333331,10.0,10.0,0.5882352941176471,0.5882352941176471,164.9,164.6,19.733333333333334,14.566666666666666,60.43333333333333,43.266666666666666,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.4766666666666667,0.5233333333333333,0.0,0.0,0.4766666666666667,0.5233333333333333,0.0,0.0,0.4766666666666667,0.5233333333333333,0.0,0.0,org.apache.hadoop.thirdparty.com.google.common.collect.Cut
org_apache_hadoop_yarn_server_resourcemanager_scheduler_QueueMetrics,18.366666666666667,16.3,0.06377314814814813,0.05659722222222221,103.53333333333333,110.1,0.20624169986719781,0.21932270916334656,51.56666666666667,48.0,0.10191040843214753,0.09486166007905135,9.366666666666667,10.766666666666667,0.10181159420289854,0.11702898550724636,5.266666666666667,5.0,0.0572463768115942,0.05434782608695653,18.133333333333333,16.1,0.06296296296296296,0.05590277777777777,12.566666666666666,13.533333333333333,0.8418906041547551,0.8249839074839076,5.9,10.833333333333334,0.02070175438596492,0.03801169590643276,224.7,230.63333333333333,18.3,6.1,41.266666666666666,9.4,0.5322222222222223,0.4677777777777778,0.0,0.0,0.5322222222222223,0.4677777777777778,0.0,0.0,0.4955555555555556,0.5044444444444445,0.0,0.0,0.4955555555555556,0.5044444444444445,0.0,0.0,0.4572222222222222,0.5427777777777778,0.0,0.0,0.4222222222222222,0.5777777777777777,0.0,0.0,0.0,1.0,0.0,1.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.5005555555555555,0.49944444444444447,0.0,0.0,0.5005555555555555,0.49944444444444447,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.5005555555555555,0.49944444444444447,0.0,0.0,0.5005555555555555,0.49944444444444447,0.0,0.0,0.0,1.0,0.0,1.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.5005555555555555,0.49944444444444447,0.0,0.0,0.5005555555555555,0.49944444444444447,0.0,0.0,org.apache.hadoop.yarn.server.resourcemanager.scheduler.QueueMetrics
org_apache_hadoop_yarn_server_nodemanager_containermanager_localizer_LocalResourceRequest,58.0,57.9,1.0,0.9982758620689655,113.73333333333333,115.0,0.9804597701149427,0.991379310344828,70.0,69.93333333333334,1.0,0.9990476190476192,21.0,21.0,1.0,1.0,13.0,12.966666666666667,0.6190476190476192,0.6174603174603176,58.0,58.0,1.0,1.0,15.0,12.966666666666667,0.8770424836601307,0.875635279752927,18.7,19.966666666666665,0.6925925925925926,0.7395061728395061,367.43333333333334,367.73333333333335,49.7,28.4,283.23333333333335,173.96666666666667,0.45,0.55,0.0,0.0,0.45,0.55,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.4211111111111111,0.5788888888888889,0.0,0.0,0.016666666666666666,0.9833333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.8911111111111111,0.10888888888888888,1.0,0.0,0.8911111111111111,0.10888888888888888,1.0,0.0,0.0,1.0,0.0,1.0,0.5794444444444444,0.42055555555555557,0.0,0.0,0.85,0.15,1.0,0.0,0.85,0.15,1.0,0.0,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.LocalResourceRequest
org_apache_hadoop_yarn_server_resourcemanager_RMAppManager,16.533333333333335,16.633333333333333,0.08566493955094989,0.0861830742659758,65.5,58.3,0.16053921568627452,0.14289215686274512,58.93333333333333,53.333333333333336,0.12646638054363377,0.11444921316165954,3.7333333333333334,3.1666666666666665,0.42962962962962953,0.7314814814814816,2.0,2.0,0.6666666666666669,0.6666666666666669,16.533333333333335,16.5,0.08566493955094989,0.0854922279792746,2.2,1.6,0.36226190476190473,0.27238095238095233,0.0,0.0,0.0,0.0,165.43333333333334,151.53333333333333,11.166666666666666,8.633333333333333,33.4,25.633333333333333,0.5227777777777778,0.4772222222222222,0.0,0.0,0.5227777777777778,0.4772222222222222,0.0,0.0,0.4583333333333333,0.5416666666666666,0.0,0.0,0.4583333333333333,0.5416666666666666,0.0,0.0,0.3933333333333333,0.6066666666666667,0.0,0.0,0.3933333333333333,0.6066666666666667,0.0,0.0,0.08166666666666667,0.9183333333333333,0.0,1.0,0.27555555555555555,0.7244444444444444,0.0,1.0,0.27555555555555555,0.7244444444444444,0.0,1.0,0.6911111111111111,0.3088888888888889,1.0,0.0,0.25333333333333335,0.7466666666666667,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.08444444444444445,0.9155555555555556,0.0,1.0,0.3038888888888889,0.6961111111111111,0.0,1.0,0.3061111111111111,0.6938888888888889,0.0,1.0,0.3061111111111111,0.6938888888888889,0.0,1.0,org.apache.hadoop.yarn.server.resourcemanager.RMAppManager
org_apache_hadoop_ha_ZKFailoverController,17.0,16.4,0.10897435897435899,0.10512820512820514,40.0,41.86666666666667,0.06920415224913495,0.07243367935409457,49.96666666666667,50.0,0.1261784511784512,0.12626262626262627,11.0,11.0,1.0,1.0,7.0,7.0,0.6363636363636365,0.6363636363636365,16.0,16.0,0.10256410256410259,0.10256410256410259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.96666666666667,142.26666666666668,8.0,7.566666666666666,27.366666666666667,25.7,0.31666666666666665,0.6833333333333333,0.0,1.0,0.31666666666666665,0.6833333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.2111111111111111,0.7888888888888889,0.0,1.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.31666666666666665,0.6833333333333333,0.0,1.0,0.8533333333333334,0.14666666666666667,1.0,0.0,0.9666666666666667,0.03333333333333333,1.0,0.0,0.9666666666666667,0.03333333333333333,1.0,0.0,org.apache.hadoop.ha.ZKFailoverController
org_apache_hadoop_yarn_api_protocolrecords_impl_pb_IncreaseContainersResourceResponsePBImpl,46.13333333333333,46.1,0.854320987654321,0.8537037037037037,33.0,33.0,1.0,1.0,95.43333333333334,95.66666666666667,0.9003144654088051,0.9025157232704403,10.0,10.0,1.0,1.0,10.0,10.0,1.0,1.0,46.1,45.63333333333333,0.8537037037037037,0.8450617283950616,10.9,10.633333333333333,0.9150987900987902,0.9136324786324788,14.033333333333333,14.1,0.5847222222222223,0.5875,265.6,265.1333333333333,25.5,14.6,93.8,48.166666666666664,0.5066666666666667,0.49333333333333335,0.0,0.0,0.5066666666666667,0.49333333333333335,0.0,0.0,0.45222222222222225,0.5477777777777778,0.0,0.0,0.45222222222222225,0.5477777777777778,0.0,0.0,0.42777777777777776,0.5722222222222222,0.0,0.0,0.42777777777777776,0.5722222222222222,0.0,0.0,0.0,1.0,0.0,1.0,0.5444444444444444,0.45555555555555555,0.0,0.0,0.5444444444444444,0.45555555555555555,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5005555555555555,0.49944444444444447,0.0,0.0,0.5005555555555555,0.49944444444444447,0.0,0.0,0.0,1.0,0.0,1.0,0.5122222222222222,0.48777777777777775,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.yarn.api.protocolrecords.impl.pb.IncreaseContainersResourceResponsePBImpl
org_apache_hadoop_yarn_server_resourcemanager_nodelabels_RMNodeLabelsManager,37.06666666666667,36.36666666666667,0.2302277432712215,0.225879917184265,82.23333333333333,81.7,0.25071138211382116,0.24908536585365854,108.23333333333333,106.03333333333333,0.3811032863849764,0.3733568075117371,19.566666666666666,16.966666666666665,0.9317460317460318,0.8079365079365082,8.866666666666667,8.8,0.4222222222222223,0.4190476190476191,37.06666666666667,36.766666666666666,0.2302277432712215,0.22836438923395444,21.2,20.6,0.9544616349833738,0.9534593565600428,5.9,5.8,0.2565217391304348,0.2521739130434783,320.1333333333333,313.03333333333336,33.03333333333333,20.733333333333334,79.6,50.666666666666664,0.39444444444444443,0.6055555555555555,0.0,0.0,0.39444444444444443,0.6055555555555555,0.0,0.0,0.4738888888888889,0.5261111111111111,0.0,0.0,0.4738888888888889,0.5261111111111111,0.0,0.0,0.3761111111111111,0.6238888888888889,0.0,0.0,0.3761111111111111,0.6238888888888889,0.0,0.0,0.0016666666666666668,0.9983333333333333,0.0,1.0,0.3527777777777778,0.6472222222222223,0.0,1.0,0.3527777777777778,0.6472222222222223,0.0,1.0,0.03833333333333333,0.9616666666666667,0.0,1.0,0.03833333333333333,0.9616666666666667,0.0,1.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.45,0.55,0.0,0.0,0.45,0.55,0.0,0.0,0.0,1.0,0.0,1.0,0.26611111111111113,0.7338888888888889,0.0,1.0,0.5461111111111111,0.4538888888888889,0.0,0.0,0.5461111111111111,0.4538888888888889,0.0,0.0,org.apache.hadoop.yarn.server.resourcemanager.nodelabels.RMNodeLabelsManager
org_apache_hadoop_io_WritableUtils,84.4,83.5,0.8612244897959184,0.8520408163265306,722.3,697.3333333333334,0.8983830845771144,0.8673300165837482,149.66666666666666,150.06666666666666,0.8962075848303395,0.8986027944111779,27.6,27.233333333333334,0.9857142857142858,0.9726190476190477,23.8,24.366666666666667,0.8499999999999999,0.8702380952380951,81.73333333333333,80.6,0.834013605442177,0.8224489795918368,61.5,51.63333333333333,0.9808207975163559,0.9781933219940916,23.133333333333333,21.333333333333332,0.4819444444444445,0.4444444444444444,1174.1333333333334,1136.0666666666666,116.1,32.53333333333333,561.5333333333333,109.7,0.44333333333333336,0.5566666666666666,0.0,0.0,0.44333333333333336,0.5566666666666666,0.0,0.0,0.43444444444444447,0.5655555555555556,0.0,0.0,0.43444444444444447,0.5655555555555556,0.0,0.0,0.29388888888888887,0.7061111111111111,0.0,1.0,0.16777777777777778,0.8322222222222222,0.0,1.0,0.0,1.0,0.0,1.0,0.5138888888888888,0.4861111111111111,0.0,0.0,0.5138888888888888,0.4861111111111111,0.0,0.0,0.36833333333333335,0.6316666666666667,0.0,1.0,0.36833333333333335,0.6316666666666667,0.0,1.0,0.6816666666666666,0.31833333333333336,1.0,0.0,0.6816666666666666,0.31833333333333336,1.0,0.0,0.27,0.73,0.0,1.0,0.27,0.73,0.0,1.0,0.0,1.0,0.0,1.0,0.21611111111111111,0.7838888888888889,0.0,1.0,0.38,0.62,0.0,0.0,0.38,0.62,0.0,0.0,org.apache.hadoop.io.WritableUtils
org_apache_hadoop_mapred_LineRecordReader,27.5,27.2,0.47413793103448276,0.46896551724137925,196.0,199.93333333333334,0.7452471482889734,0.7602027883396706,69.86666666666666,70.0,0.5871148459383754,0.5882352941176471,12.0,11.0,1.0,0.9166666666666669,10.0,9.966666666666667,0.8333333333333331,0.8305555555555554,26.5,26.733333333333334,0.4568965517241378,0.46091954022988496,15.1,15.266666666666667,0.9357108945692537,0.9348476252849316,8.966666666666667,8.833333333333334,0.6404761904761905,0.6309523809523809,365.93333333333334,368.93333333333334,27.233333333333334,11.1,112.7,46.833333333333336,0.4677777777777778,0.5322222222222223,0.0,0.0,0.4677777777777778,0.5322222222222223,0.0,0.0,0.5388888888888889,0.46111111111111114,0.0,0.0,0.5388888888888889,0.46111111111111114,0.0,0.0,0.5566666666666666,0.44333333333333336,0.0,0.0,0.5711111111111111,0.4288888888888889,0.0,0.0,0.03333333333333333,0.9666666666666667,0.0,1.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.46555555555555556,0.5344444444444445,0.0,0.0,0.46555555555555556,0.5344444444444445,0.0,0.0,0.0,1.0,0.0,1.0,0.6188888888888889,0.3811111111111111,0.0,0.0,0.8816666666666667,0.11833333333333333,1.0,0.0,0.8816666666666667,0.11833333333333333,1.0,0.0,org.apache.hadoop.mapred.LineRecordReader
org_apache_hadoop_yarn_server_nodemanager_executor_ContainerSignalContext,52.0,51.2,0.88135593220339,0.8677966101694916,33.0,33.0,0.8918918918918917,0.8918918918918917,46.0,46.0,0.9787234042553192,0.9787234042553192,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,52.0,52.0,0.88135593220339,0.88135593220339,0.0,0.0,0.0,0.0,12.0,12.0,0.4800000000000001,0.4800000000000001,219.0,218.2,24.966666666666665,14.466666666666667,112.1,70.1,0.2833333333333333,0.7166666666666667,0.0,1.0,0.2833333333333333,0.7166666666666667,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.2833333333333333,0.7166666666666667,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.yarn.server.nodemanager.executor.ContainerSignalContext
