approach,project,bugs,detected_bugs,detected_times,success_test_times,fail_test_times,detected_rate
mosa-BC-EC-MC,Chart,24,17,141,224,16,0.6287037037037037
mosa-BC-EC-MC,Cli,28,14,106,279,1,0.37857142857142856
mosa-BC-EC-MC,Closure,38,9,31,310,70,0.10924185463659147
mosa-BC-EC-MC,Compress,29,16,111,269,21,0.42539682539682544
mosa-BC-EC-MC,Csv,8,6,46,77,3,0.5875
mosa-BC-EC-MC,Gson,14,5,49,137,3,0.35000000000000003
mosa-BC-EC-MC,JacksonCore,22,12,83,204,16,0.40101010101010104
mosa-BC-EC-MC,JacksonDatabind,75,27,139,634,116,0.24569312169312174
mosa-BC-EC-MC,JacksonXml,6,2,19,53,7,0.31666666666666665
mosa-BC-EC-MC,Jsoup,58,23,181,541,39,0.3251231527093596
mosa-BC-EC-MC,JxPath,12,10,43,88,32,0.5226851851851851
mosa-BC-EC-MC,Lang,44,23,197,434,6,0.4477272727272727
mosa-BC-EC-MC,Math,2,1,10,20,0,0.5
mosa-BC-EC-MC,total,360,165,1156,3270,330,0.3520976631393298
