project,class,n.branch,n.statement,n.mutant
o4_hadoop,org.apache.hadoop.yarn.server.webproxy.ProxyCA,61,155,1
o4_hadoop,org.apache.hadoop.io.EnumSetWritable,55,69,92
o4_hadoop,org.apache.hadoop.thirdparty.protobuf.UnknownFieldSet,223,346,491
o4_hadoop,org.apache.hadoop.net.NetworkTopology,245,353,931
o4_hadoop,org.apache.hadoop.util.LightWeightGSet,88,155,592
o4_hadoop,org.apache.hadoop.crypto.CryptoInputStream,208,366,987
o4_hadoop,org.apache.hadoop.net.DNS,62,114,137
o4_hadoop,org.apache.hadoop.ha.SshFenceByTcpPort,54,113,152
o4_hadoop,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.QueueManager,131,222,309
o4_hadoop,org.apache.hadoop.thirdparty.protobuf.compiler.PluginProtos,909,1584,790
o4_hadoop,org.apache.hadoop.io.compress.zlib.ZlibCompressor,67,133,304
o4_hadoop,org.apache.hadoop.yarn.proto.YarnServerResourceManagerRecoveryProtos,1824,2787,1330
o4_hadoop,org.apache.hadoop.yarn.api.records.impl.pb.LocalResourcePBImpl,64,105,53
o4_hadoop,org.apache.hadoop.yarn.webapp.hamlet2.HamletGen,169,221,892
o4_hadoop,org.apache.hadoop.thirdparty.protobuf.AbstractMessage,133,184,374
o4_hadoop,org.apache.hadoop.yarn.server.nodemanager.metrics.NodeManagerMetrics,76,161,260
o4_hadoop,org.apache.hadoop.mapred.TaskLog,94,258,376
o4_hadoop,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.resources.fpga.FpgaResourceAllocator,63,116,126
o4_hadoop,org.apache.hadoop.yarn.server.AMRMClientRelayer,108,287,81
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.util.concurrent.Monitor,219,303,448
o4_hadoop,org.apache.hadoop.yarn.proto.MRClientProtocol,250,312,139
o4_hadoop,org.apache.hadoop.io.retry.RetryPolicies,166,219,659
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.io.ByteSource,102,203,483
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.util.concurrent.CycleDetectingLockFactory,97,218,212
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.primitives.UnsignedLongs,94,127,840
o4_hadoop,org.apache.hadoop.conf.StorageUnit,94,93,343
o4_hadoop,org.apache.hadoop.io.compress.CompressionCodecFactory,70,138,123
o4_hadoop,org.apache.hadoop.fs.viewfs.NflyFSystem,174,374,608
o4_hadoop,org.apache.hadoop.yarn.proto.ApplicationClientProtocol,565,711,345
o4_hadoop,org.apache.hadoop.yarn.server.metrics.AMRMClientRelayerMetrics,100,134,161
o4_hadoop,org.apache.hadoop.security.token.delegation.ZKDelegationTokenSecretManager,184,469,1
o4_hadoop,org.apache.hadoop.fs.shell.FsUsage,60,128,361
o4_hadoop,org.apache.hadoop.metrics2.lib.MethodMetric,60,58,61
o4_hadoop,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.FSParentQueue,52,1,1
o4_hadoop,org.apache.hadoop.mapreduce.jobhistory.HistoryViewer,122,209,417
o4_hadoop,org.apache.hadoop.mapreduce.lib.join.TupleWritable,68,110,445
o4_hadoop,org.apache.hadoop.security.authentication.server.JWTRedirectAuthenticationHandler,62,124,392
o4_hadoop,org.apache.hadoop.yarn.server.api.protocolrecords.impl.pb.RegisterNodeManagerRequestPBImpl,159,270,83
o4_hadoop,org.apache.hadoop.mapreduce.v2.app.webapp.AMWebServices,68,191,105
o4_hadoop,org.apache.hadoop.mapreduce.jobhistory.EventReader,79,77,14
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.reflect.TypeToken,277,410,370
o4_hadoop,org.apache.hadoop.thirdparty.protobuf.Field,405,721,844
o4_hadoop,org.apache.hadoop.fs.FileSystem,606,954,755
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.base.Joiner,61,95,55
o4_hadoop,org.apache.hadoop.ipc.ProtobufRpcEngine2,84,213,167
o4_hadoop,org.apache.hadoop.yarn.proto.CsiAdaptorProtocol,100,122,41
o4_hadoop,org.apache.hadoop.yarn.server.api.protocolrecords.impl.pb.RegisterNodeManagerResponsePBImpl,75,140,64
o4_hadoop,org.apache.hadoop.yarn.api.records.impl.pb.ContainerStatusPBImpl,107,179,121
o4_hadoop,org.apache.hadoop.mapred.QueueConfigurationParser,116,192,315
o4_hadoop,org.apache.hadoop.yarn.server.resourcemanager.scheduler.distributed.NodeQueueLoadMonitor,96,191,258
o4_hadoop,org.apache.hadoop.yarn.api.records.impl.pb.SchedulingRequestPBImpl,87,152,74
o4_hadoop,org.apache.hadoop.net.unix.DomainSocketWatcher,126,200,155
o4_hadoop,org.apache.hadoop.thirdparty.protobuf.Any,127,256,369
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.graph.AbstractBaseGraph,69,54,107
o4_hadoop,org.apache.hadoop.yarn.applications.distributedshell.Client,317,677,406
o4_hadoop,org.apache.hadoop.yarn.server.nodemanager.security.NMTokenSecretManagerInNM,69,131,71
o4_hadoop,org.apache.hadoop.crypto.key.kms.server.KMS,82,337,242
o4_hadoop,org.apache.hadoop.fs.Globber,106,182,77
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.primitives.Chars,118,165,851
o4_hadoop,org.apache.hadoop.io.IOUtils,113,158,331
o4_hadoop,org.apache.hadoop.yarn.proto.YarnServerNodemanagerServiceProtos,947,1512,751
o4_hadoop,org.apache.hadoop.yarn.client.cli.NodeCLI,63,205,199
o4_hadoop,org.apache.hadoop.yarn.server.resourcemanager.amlauncher.AMLauncher,72,180,1
o4_hadoop,org.apache.hadoop.yarn.api.protocolrecords.impl.pb.StartContainersResponsePBImpl,75,144,40
o4_hadoop,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.docker.DockerClient,53,48,13
o4_hadoop,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.converter.FSConfigToCSConfigConverter,86,212,199
o4_hadoop,org.apache.hadoop.service.launcher.ServiceLauncher,128,296,263
o4_hadoop,org.apache.hadoop.security.token.delegation.web.DelegationTokenAuthenticationHandler,74,159,187
o4_hadoop,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,88,177,117
o4_hadoop,org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainerMetrics,52,116,201
o4_hadoop,org.apache.hadoop.yarn.client.api.impl.TimelineV2ClientImpl,124,253,211
o4_hadoop,org.apache.hadoop.fs.HarFileSystem,223,419,648
o4_hadoop,org.apache.hadoop.fs.TrashPolicyDefault,63,174,340
o4_hadoop,org.apache.hadoop.yarn.server.resourcemanager.placement.QueueMapping,57,74,157
o4_hadoop,org.apache.hadoop.mapreduce.tools.CLI,285,477,447
o4_hadoop,org.apache.hadoop.net.unix.DomainSocket,74,182,527
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.primitives.ImmutableDoubleArray,117,157,763
o4_hadoop,org.apache.hadoop.yarn.server.api.protocolrecords.impl.pb.NodeHeartbeatRequestPBImpl,132,233,78
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.base.Verify,51,76,283
o4_hadoop,org.apache.hadoop.thirdparty.com.google.common.io.Files,122,157,319
o4_hadoop,org.apache.hadoop.crypto.key.kms.KMSClientProvider,210,518,945
o4_hadoop,org.apache.hadoop.security.token.delegation.AbstractDelegationTokenIdentifier,63,110,187
o4_hadoop,org.apache.hadoop.yarn.event.AsyncDispatcher,89,172,187
o4_hadoop,org.apache.hadoop.util.ApplicationClassLoader,80,80,178
o4_hadoop,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.queuemanagement.GuaranteedOrZeroCapacityOverTimePolicy,168,350,266
